,0,1
317,inteligentes,VBZ
318,Se,NNP
319,além,NN
320,dessas,NN
321,prendas,NN
322,únicas,NNP
323,dignas,VBZ
324,preocupação,NN
325,sábio,NN
326,Evarista,NNP
327,mal,JJ
328,composta,NN
329,feições,NN
330,longe,NN
331,lastimá,NN
332,lo,NN
333,agradecia,NN
334,Deus,NNP
335,porquanto,NN
336,corria,NN
337,risco,NN
338,preterir,NN
339,interesses,VBZ
340,ciência,JJ
341,contemplação,NN
342,exclusiva,NN
343,miúda,NN
344,vulgar,NN
345,consorte,NN
346,Evarista,NNP
347,mentiu,NN
348,esperanças,NN
349,Dr,NNP
350,Bacamarte,NNP
351,deu,NN
352,filhos,NN
353,robustos,NN
354,mofinos,FW
355,índole,JJ
356,natural,JJ
357,ciência,NN
358,longanimidade,NN
359,médico,NN
360,esperou,NN
361,três,NN
362,anos,JJ
363,quatro,NN
364,cinco,NN
365,Ao,NNP
366,cabo,NN
367,desse,NN
368,tempo,NN
369,fez,NN
370,estudo,FW
371,profundo,NN
372,matéria,NNS
373,releu,VBP
374,todos,JJ
375,escritores,NNS
376,árabes,VBP
377,outros,JJ
378,trouxera,NN
379,Itaguaí,NNP
380,enviou,NN
381,consultas,NNS
382,universidades,IN
383,italianas,JJ
384,alemãs,NN
385,acabou,NN
386,aconselhar,IN
387,mulher,JJR
388,regímen,NNS
389,alimentício,VBP
390,especial,JJ
391,ilustre,NN
392,dama,NN
393,nutrida,JJ
394,exclusivamente,NN
395,bela,NN
396,carne,NN
397,porco,NN
398,Itaguaí,NNP
399,atendeu,NN
400,admoestações,NN
401,esposo,NN
402,resistência,NN
403,explicável,NN
404,inqualificável,NN
405,devemos,NN
406,total,JJ
407,extinção,JJ
408,dinastia,NN
409,Bacamartes,NNP
410,Mas,NNP
411,ciência,NN
412,inefável,NN
413,dom,NN
414,curar,NN
415,todas,JJ
416,mágoas,NN
417,médico,NN
418,mergulhou,NN
419,inteiramente,NN
420,estudo,NN
421,prática,NN
422,medicina,NN
423,Foi,NNP
424,então,VBZ
425,recantos,NNS
426,desta,JJ
427,chamou,JJ
428,especialmente,NN
429,atenção,NN
430,recanto,NN
431,psíquico,NN
432,exame,NN
433,patologia,JJ
434,cerebral,JJ
435,Não,NNP
