,0,1
370,Na,NNP
371,principal,NN
372,destas,VBD
373,a,DT
374,pintura,NN
375,do,VBP
376,teto,VB
377,e,VB
378,das,JJ
379,paredes,NNS
380,é,VBP
381,mais,JJ
382,ou,JJ
383,menos,NNS
384,igual,JJ
385,umas,JJ
386,grinaldas,NN
387,de,IN
388,flores,NNS
389,miúdas,VBP
390,e,JJ
391,grandes,NNS
392,pássaros,VBP
393,que,NN
394,as,IN
395,tomam,JJ
396,nos,JJ
397,bicos,NN
398,de,IN
399,espaço,FW
400,a,DT
401,espaço,JJ
402,Nos,NNP
403,quatro,NN
404,cantos,NNS
405,do,VBP
406,teto,RB
407,as,IN
408,figuras,NNS
409,das,VBP
410,estações,JJ
411,e,NN
412,ao,NN
413,centro,NN
414,das,NN
415,paredes,NNS
416,os,VBP
417,medalhões,FW
418,de,FW
419,César,NNP
420,Augusto,NNP
421,Nero,NNP
422,e,NN
423,Massinissa,NNP
424,com,NN
425,os,NN
426,nomes,NNS
427,por,VBP
428,baixo,JJ
429,Não,NNP
430,alcanço,VBZ
431,a,DT
432,razão,NN
433,de,IN
434,tais,FW
435,personagens,NNS
436,Quando,NNP
437,fomos,VBP
438,para,VB
439,a,DT
440,casa,NN
441,de,IN
442,Mata,NNP
443,cavalos,NN
444,já,NN
445,ela,NN
446,estava,NN
447,assim,IN
448,decorada,NN
449,vinha,NN
450,do,VBP
451,decênio,VB
452,anterior,VB
453,Naturalmente,NNP
454,era,NN
455,gosto,NN
456,do,VBP
457,tempo,RB
458,meter,VB
459,sabor,NN
460,clássico,NN
461,e,NN
462,figuras,NNS
463,antigas,VBP
464,em,JJ
465,pinturas,NNS
466,americanas,VBP
467,O,NNP
468,mais,NN
469,é,NNP
470,também,NN
471,análogo,NN
472,e,NN
473,parecido,NN
474,Tenho,NNP
475,chacarinha,NN
476,flores,NNS
477,legume,VBP
478,uma,JJ
479,casuarina,NN
480,um,JJ
481,poço,NN
482,e,NN
483,lavadouro,NN
484,Uso,NNP
485,louça,VBZ
486,velha,FW
487,e,FW
488,mobília,FW
489,velha,FW
490,Enfim,NNP
491,agora,VBP
492,como,NN
493,outrora,JJ
494,há,NN
495,aqui,NN
496,o,NN
497,mesmo,NN
498,contraste,NN
499,da,NN
500,vida,NN
501,interior,JJ
502,que,NN
503,é,NNP
504,pacata,NN
505,com,NN
506,a,DT
507,exterior,JJ
508,que,NN
509,é,NNP
510,ruidosa,NN
511,O,NNP
512,meu,NN
513,fim,NN
514,evidente,NN
515,era,NN
516,atar,NN
517,as,IN
518,duas,NN
519,pontas,NNS
520,da,VBP
521,vida,NN
522,e,NN
523,restaurar,NN
524,na,TO
525,velhice,VB
526,a,DT
527,adolescência,NN
528,Pois,NNP
529,senhor,NN
530,não,NN
531,consegui,NN
532,recompor,NN
533,o,NN
534,que,NN
535,foi,NN
536,nem,JJ
537,o,NN
538,que,NN
539,fui,NN
540,Em,NNP
541,tudo,NN
542,se,NN
543,o,NN
544,rosto,NN
545,é,NNP
546,igual,VBZ
547,a,DT
548,fisionomia,NN
549,é,NNP
550,diferente,NN
551,Se,NNP
552,só,VBD
553,me,PRP
554,faltassem,JJ
555,os,JJ
556,outros,NNS
557,vá,VBP
558,um,JJ
559,homem,NN
560,consola,NN
561,se,NN
562,mais,NN
563,ou,IN
564,menos,NNS
565,das,VBP
566,pessoas,JJ
567,que,NN
568,perde,NN
569,mais,NN
570,falto,NN
571,eu,NN
572,mesmo,NN
573,e,NN
574,esta,NN
575,lacuna,NN
576,é,NNP
577,tudo,NN
578,O,NNP
579,que,NN
580,aqui,NN
581,está,NN
582,é,NNP
583,mal,JJ
584,comparando,NN
585,semelhante,NN
586,à,NNP
587,pintura,NN
588,que,NN
589,se,NN
590,põe,NN
591,na,TO
592,barba,VB
593,e,JJ
594,nos,NNS
595,cabelos,VBP
596,e,JJ
597,que,NN
598,apenas,NNS
599,conserva,VBP
600,o,JJ
601,hábito,NN
602,externo,NN
603,como,NN
604,se,NN
605,diz,NN
606,nas,JJ
607,autópsias,NN
608,o,MD
609,interno,VB
610,não,JJ
611,agüenta,NN
612,tinta,NN
613,Uma,NNP
614,certidão,NN
615,que,NN
616,me,PRP
617,desse,VBZ
618,vinte,JJ
619,anos,FW
620,de,FW
621,idade,FW
622,poderia,NNS
623,enganar,VBP
624,os,JJ
625,estranhos,NN
626,como,NN
627,todos,NN
628,os,NN
629,documentos,NN
630,falsos,NN
631,mas,NN
632,não,IN
633,a,DT
634,mim,NN
635,Os,NNP
636,amigos,NN
637,que,NN
638,me,PRP
639,restam,JJ
640,são,FW
641,de,FW
642,data,FW
643,recente,NN
644,todos,NN
645,os,NN
646,antigos,JJ
647,foram,NN
648,estudar,VBZ
649,a,DT
650,geologia,NN
651,dos,NN
652,campos,NN
653,santos,NN
654,Quanto,NNP
655,às,NNP
656,amigas,NN
657,algumas,NN
658,datam,NN
659,de,IN
660,quinze,FW
661,anos,JJ
662,outras,FW
663,de,FW
664,menos,FW
665,e,FW
666,quase,NN
667,todas,NN
668,crêem,NN
669,na,TO
670,mocidade,VB
671,Duas,NNP
672,ou,PRP
673,três,VBP
674,fariam,JJ
675,crer,NN
676,nela,JJ
677,aos,NN
678,outros,NNS
679,mas,VBP
680,a,DT
681,língua,NN
682,que,NN
683,falam,NN
684,obriga,IN
685,muita,JJ
686,vez,NN
687,a,DT
688,consultar,NN
689,os,JJ
690,dicionários,NNS
691,e,VBP
692,tal,JJ
693,freqüência,NN
694,é,NNP
695,cansativa,NN
696,Entretanto,NNP
697,vida,NN
698,diferente,NN
699,não,FW
700,quer,NN
701,dizer,NN
702,vida,NN
703,pior,JJ
704,é,NNP
705,outra,MD
706,coisa,VB
707,A,NNP
708,certos,NN
709,respeitos,NN
710,aquela,NN
711,vida,NN
712,antiga,NN
713,aparece,IN
714,me,PRP
715,despida,FW
716,de,FW
717,muitos,FW
718,encantos,FW
719,que,NN
720,lhe,NN
721,achei,NN
722,mas,NN
723,é,NNP
724,também,NN
725,exato,NN
726,que,NN
727,perdeu,NN
728,muito,NN
729,espinho,NN
730,que,NN
731,a,DT
732,fez,NN
733,molesta,NN
734,e,FW
735,de,FW
736,memória,FW
737,conservo,NN
738,alguma,NN
739,recordação,NN
740,doce,NN
741,e,NN
742,feiticeira,NN
743,Em,NNP
744,verdade,NN
745,pouco,NN
746,apareço,NN
747,e,NN
748,menos,NNS
749,falo,VBP
750,Distrações,NNP
751,raras,NNS
752,O,NNP
753,mais,NN
754,do,VBP
755,tempo,VB
756,é,NNP
757,gasto,NN
758,em,NN
759,hortar,NN
760,jardinar,NN
761,e,VBP
762,ler,NN
763,como,NN
764,bem,NN
765,e,NN
766,não,JJ
767,durmo,NN
768,mal,JJ
769,Ora,NNP
770,como,NN
771,tudo,NN
772,cansa,NN
773,esta,NN
774,monotonia,NN
775,acabou,NN
776,por,NN
777,exaurir,IN
778,me,PRP
779,também,VBP
780,Quis,NNP
781,variar,NN
782,e,NN
783,lembrou,IN
784,me,PRP
785,escrever,VBP
786,um,JJ
787,livro,NN
788,Jurisprudência,NNP
789,filosofia,NN
790,e,NN
791,política,NN
792,acudiram,IN
793,me,PRP
794,mas,VBP
795,não,IN
796,me,PRP
797,acudiram,VBP
798,as,IN
799,forças,NN
800,necessárias,IN
801,Depois,NNP
802,pensei,NN
803,em,NN
804,fazer,NN
805,uma,JJ
806,História,NNP
807,dos,NN
808,Subúrbios,NNP
809,menos,VBZ
810,seca,JJ
811,que,NN
812,as,IN
813,memórias,NNS
814,do,VBP
815,padre,VB
816,Luís,NNP
817,Gonçalves,NNP
818,dos,VBD
819,Santos,NNP
820,relativas,NN
821,à,NNP
822,cidade,NN
823,era,NN
824,obra,NN
825,modesta,NN
826,mas,NN
827,exigia,NN
828,documentos,NN
829,e,NN
830,datas,NNS
831,como,VBP
832,preliminares,NNS
833,tudo,VBP
834,árido,JJ
835,e,NN
836,longo,NN
837,Foi,NNP
838,então,NN
839,que,NN
840,os,NN
841,bustos,NN
842,pintados,NN
843,nas,NNS
844,paredes,VBZ
845,entraram,VBP
846,a,DT
847,falar,JJ
848,me,PRP
849,e,VBZ
850,a,DT
851,dizer,NN
852,me,PRP
853,que,JJ
854,uma,JJ
855,vez,NN
856,que,NN
857,eles,VBZ
858,não,RB
859,alcançavam,JJ
860,reconstituir,VB
861,me,PRP
862,os,JJ
863,tempos,JJ
864,idos,NN
865,pegasse,NN
866,da,NN
867,pena,NN
868,e,NN
869,contasse,NN
870,alguns,VBZ
871,Talvez,NNP
872,a,DT
873,narração,JJ
874,me,PRP
875,desse,VBZ
876,a,DT
877,ilusão,JJ
878,e,NN
879,as,IN
880,sombras,JJ
881,viessem,NN
882,perpassar,NN
883,ligeiras,FW
884,como,NN
885,ao,NN
886,poeta,NN
887,não,NN
888,o,NN
889,do,VBP
890,trem,VB
891,mas,VB
892,o,JJ
893,do,VB
894,Fausto,NNP
895,Aí,NNP
896,vindes,VBZ
897,outra,JJ
898,vez,NN
899,inquietas,NNS
900,sombras,NNS
901,?,.
902,...,:
903,Fiquei,NNP
904,tão,VBZ
905,alegre,JJ
906,com,NN
907,esta,NN
908,idéia,NN
909,que,NN
910,ainda,NN
911,agora,IN
912,me,PRP
913,treme,VB
914,a,DT
915,pena,NN
916,na,TO
917,mão,VB
918,Sim,NNP
919,Nero,NNP
920,Augusto,NNP
921,Massinissa,NNP
922,e,FW
923,tu,NN
924,grande,NN
925,César,NNP
926,que,NN
927,me,PRP
928,incitas,VBZ
929,a,DT
930,fazer,NN
931,os,NN
932,meus,NN
933,comentários,NNS
934,agradeço,VBP
935,vos,JJ
936,o,NN
937,conselho,NN
938,e,NN
939,vou,NN
940,deitar,NN
941,ao,NN
942,papel,NN
943,as,IN
944,reminiscências,NN
945,que,IN
946,me,PRP
947,vierem,FW
948,vindo,FW
949,Deste,NNP
950,modo,FW
951,viverei,NN
952,o,NN
953,que,NN
954,vivi,NN
955,e,NN
956,assentarei,VBZ
957,a,DT
958,mão,NN
959,para,NN
960,alguma,JJ
961,obra,NN
962,de,IN
963,maior,FW
964,tomo,NN
965,Eia,NNP
966,comecemos,VBZ
967,a,DT
968,evocação,JJ
969,por,NN
970,uma,JJ
971,célebre,NN
972,tarde,NN
973,de,IN
974,novembro,FW
975,que,NN
976,nunca,IN
977,me,PRP
978,esqueceu,VBP
979,Tive,JJ
980,outras,NNS
981,muitas,NNS
982,melhores,NNS
983,e,VBP
984,piores,NNS
985,mas,VBP
986,aquela,JJ
987,nunca,FW
988,se,FW
989,me,PRP
990,apagou,VBP
991,do,VBP
992,espírito,VB
993,É,NNP
994,o,PRP
995,que,VBP
996,vais,JJ
997,entender,NN
998,lendo,NN
999,CAPÍTULO,NNP
1000,III,NNP
1001,A,NNP
1002,DENÚNCIA,NNP
1003,Ia,NNP
1004,a,DT
1005,entrar,NN
1006,na,JJ
1007,sala,NN
1008,de,IN
1009,visitas,FW
1010,quando,FW
1011,ouvi,FW
1012,proferir,FW
1013,o,FW
1014,meu,FW
1015,nome,FW
1016,e,NN
1017,escondi,IN
1018,me,PRP
1019,atrás,VBP
1020,da,JJ
1021,porta,NN
1022,A,NNP
1023,casa,NN
1024,era,NN
1025,a,DT
1026,da,NN
1027,rua,NN
1028,de,IN
1029,Mata,NNP
1030,cavalos,NN
1031,o,NN
1032,mês,NN
1033,novembro,JJ
1034,o,JJ
1035,ano,NN
1036,é,NNP
1037,que,NN
